Word,English Translation / Meaning,Sentence / Phrase (Kankanaey),Sentence / Phrase (English),POS,662
napnek,satisfied,Napnek si Maria sinan kinan na ay mais.,Maria is satisfied in the corn that she ate.,VERB,
napno,full,Napno si danom san payew tay inmudan si napigsa.,The fishpond of our neighbour is full of fish.,ADJ,
napoan,orgin,,,NOUN,
napoowan,burned,Napoowan san bilig et natey da san mula.,The mountains were burned so the plants died.,VERB,
naposkol,thick,Naposkol di taba na ay karne nan indawat da ken sak-en.,They gave me a thick slice of meat with lots of fats.,ADJ,
naragsak,happy,"Ikantak riknak ay naragsak, layad ay manleplepyas.","I will sing out my happy feeling, overflowing love.",ADJ,
narigat,difficult,"Narigat di biyag, ngem ananusak.",Life is difficult yet I still keep going.,ADJ,
nasangaw,disturbed,,,VERB,
nasangsangaw,constantly disturbed,,,VERB,
nasapa,early,Bumangbangon ak si nasapa inagew.,Bumangbangon ak si nasapa inagew.,ADV,
nasayang,wasted,Nasayang san inutok ay inapoy tan nabanges.,The rice I cooked is wasted because it is spoiled.,VERB,
nasdaaw,shocked,Nasdaaw nan kaaruba me edi naila da ay wada asawak.,Our neighbour was shocked when I brought home my husband.,VERB,
nasdem,afternoon,wada di esay nasdem ay enan nan udanan.,There was one afternoon when it rained.,NOUN,
naseyep,slept,Naseyep ak si kaat na ay oras tay nabay ak.,I slept for many hours because I was tired.,VERB,
nasinop,gathered,,,VERB,
natago,come back to life,Natago san apoy tay kinabilak si saleng.,The fire came back to life after I ignite it.,NOUN,
natalna,silent,"Laylaydek san labi tay permi ay natalna, maka nemnem ta tet-ewa.","I love night times because it is silent, I can think peacefully.",ADJ,
natangsit,hard headed,"Natangsit launay san kadwak, adu ud iman san siping na.",My friend is hard-headed just because he have lots of money.,VERB,
natanig,pure,,,ADJ,
nataynan,left,Nataynan ak sin pan luganak  kuma tay naladaw ak ay binmangon.,Nataynan ak sin pan luganak  kuma tay naladaw ak ay binmangon.,VERB,
natdok,no more water/water is no longer present/flow of water became impossible,,,ADJ,
natekdag,fall,Natekdag san baon ko isnan payew ede man dad-an ak.,My lunch fell in the fields while I was walking.,NOUN,
natenatey,double dead,,,ADJ,
nateng,vegetables,inasinan ay nateng yan say en pangisibuan,"For our dish, we had vegetables with salt added.",NOUN,
nateweng,deaf,"Kakalkalik si alapok ngem ade sumungbat, nateweng et udpay.","My grandmother is deaf, that's why she can't hear or understand everytime I try to talk to her",ADJ,
natey,dead,Natey ay dagus san anak di aso me tan baybay-an di ina na.,Our dog is dead after being abandoned by its mother.,ADJ,
natken,different,,,ADJ,
natokang,sleepless,,,ADJ,
naudi,too late,"Nasayaat kuma san biyag ko ed wani no ade ak naki asawa si nasapa, naudi san babawi.","My life should be better now if only I did not marry early,  it's too late already.",ADV,
nauma,fed up,,,VERB,
nawada,appeared,Nawada san danom edi nalpas da ay insimpa san kad-an di napulatan na.,The water appeared  after they fixed the clogged part.,VERB,
nawawada,suddenly appeared,Aped nawawada san manang ko ay sinmawang malpas han kaat na ay tawen ay men ububla ed sabali ay ili.,My sister suddenly appeared at our house after so many years of working abroad.,VERB,
nawaya,spacious,Nawaya san baey da.,Their house is so spacious.,ADJ,
nay,here,Tan nay adak kabaelan din dawat da amam,"Because of this, I can’t meet your parents’ demands.",ADV,
nemnem,mind,nabang-bang-agan ka ngem tinmatayaw nemnem ko,You're crazy and i'm out of my mind.,VERB,
nemnemem,to think/to recall/to make a thought on something,,,VERB,
nemnemen,to think/to recall/to make a thought on something,"No nak nemnemen din nakuykuyagan ta
",If I remember the things we went through together,VERB,
nemnemnemen,thinking,,,VERB,
ngadan,name,,,NOUN,
ngadana,name,,,NOUN,
ngadngadan,alias,,,NOUN,
ngalat,oral communication,,,ADJ,
ngalawngaw,noise,,,NOUN,
ngalngalaten,chew,,,VERB,
ngarud,therefore,,,ADV,
ngata,word added to the last of a sentence to ask questions,,,NOUN,
ngato,above,Mankankanta si iyogtan ed ngato.,My younger sibling is singing upstairs.,ADV,
ngem,but,Ngem nay ammeyyak,"But here I am, leaving.",CCONJ,
nilabi,every night,,,NOUN,
nilablabi,every night,,,NOUN,
nilabsan,walk passed,,,VERB,
nilinglingan,forgotten,,,VERB,
nilogian,started,,,VERB,
ninemnem,remembered,,,VERB,
numero,number,,,NOUN,
obbog,well,Dakami din inmey nansakdo san obbog,We are the ones who went to fetch water in the well.,ADV,
obla,work,Addak nanemnemnem ay maidawatanak si obla ay mangituloy si misyon da tatang en nanang ko.,"I never imagined that I would be tasked with continuing the mission of my parents.
",VERB,
oblantis,workers,,,NOUN,
odan,rain,,,NOUN,
odi,balance,,,NOUN,
odom,others,,,NOUN,
oga,cry,,,VERB,
ogaak,i'm crying,,,VERB,
ogali,attitude,,,NOUN,
ogsa,deer,,,NOUN,
oka,yours,,,PRON,
olay,even,,,ADV,
olila,orphan,,,NOUN,
oling,charcoal,,,NOUN,
olnos,peace,,,NOUN,
olog,meaning,,,VERB,
oma,lost interest,,,VERB,
omaddawi,walk away,,,VERB,
omagadang,cross the body of water,,,VERB,
omali,come,,,VERB,
omalis,change position/contagious,,,NOUN,
omanay,enough,,,ADV,
omayos,it will flow,,,VERB,
omdas,catch-up,,,NOUN,
omili,residents/community members,,,NOUN,
omona,go first,,,VERB,
omonod,follow,,,VERB,
omya,give,,,VERB,
ona,first,,,ADV,
onaen,priorities,,,NOUN,
onas,cane,,,NOUN,
oneg,inside,,,ADV,
onina,at least,,,ADJ,
onod,follow,,,VERB,
onoden,follow,,,VERB,
oopisyal,officials,,,NOUN,
opat,four,,,NUM,
opatapolo,forty,,,NUM,
opisyal,official,,,NOUN,
oras,time,Sinoy oras ka ay manlobwat py?,What time will you depart?,NOUN,
osal,object / belonging / purpose or use,Idolin mun osal mu ta adin maiwawarang.,Keep your things so it is not scattered there.,NOUN,
osalen,use,,,NOUN,
otang,credit,,,NOUN,
owasan,to wash,,,VERB,
owat,vein,,,ADV,
oway,necklace,,,NOUN,
oyaw,to despise,,,VERB,
paayag,to call for someone,,,VERB,
pabasbasolen,blaming,,,VERB,
pabasolen,blame,,,VERB,
pabpaboran,in favor of/for,,,NOUN,
padasen,try,,,VERB,
padi,priest,,,NOUN,
padpadasen,testing,,,NOUN,
paegyaten,scare,,,NOUN,
pagano,be better even if,,,ADJ,
pagat,Why is it?,Pagat nansina ta?,Why did we part?,SCONJ,
pagey,matured rice stalk,,,VERB,
pait,bitterness,,,NOUN,
pakaanek,feed me,,,VERB,
pakaanem,you feed it,,,VERB,
pakaanen,feed,,,NOUN,
pakaanena,where to eat?,,,VERB,
pakanen,feed,,,NOUN,
pakawanek,forgive me,,,VERB,
pakawanem,forgive / make it disaappear,,,VERB,
pakawanen,forgive,Manpakaasi ka adi ta pakawanen na sika.,Why don't you beg for her to forgive you.,VERB,
pakikadkadwaan,Get along well with him/her,,,VERB,
pakod,prohibit,,,NOUN,
pakomostaak,give my regards,,,VERB,
palalo,you're too  much,,,ADJ,
palanggana,basin,,,NOUN,
palasyo,palace,,,NOUN,
palato,plate,,,NOUN,
paligaten,make it sweat,,,VERB,
palobosak,letting go,,,VERB,
palobosam,You let go,,,VERB,
palobosan,to allow,,,VERB,
palosot,excuses,,,NOUN,
palpaligatem,You make it difficult,,,VERB,
pamagbaga,drying,,,VERB,
pamagbagak,to speak,,,VERB,
pamatian,belief,,,NOUN,
pamilya,family,Manladladingit han pamilya tan inpolang ama da din biyag na ken Apo.,The family is grieving as their father returned his life to the Lord.,NOUN,
pamilyam,your family,,,NOUN,
pammati,belief,,,NOUN,
pammatik,my belief,,,NOUN,
pammatim,your belief,,,NOUN,
pan-adalan,school/lesson,Usto ta naiyat di ta wada di pan-adalan.,It's right that it happened so we have a lesson to learn from.,NOUN,
pan-iibawan,cause of argument,,,NOUN,
pana,arrow,,,NOUN,
panagbiyag,life,,,NOUN,
panakaawat,understand,,,VERB,
panakabalina,result,,,VERB,
panaydayawan,gathering,,,VERB,
panbalinen,make it happen,,,VERB,
panbasolam,sin,,,VERB,
panbayad,pay,,,VERB,
panbibingayan,sharing,,,VERB,
paneknekan,prove,,,VERB,
panga,branch,,,NOUN,
pangaasi,please,,,INTJ,
pangarig,example,,,NOUN,
pangawat,understanding,,,VERB,
panggep,because,,,SCONJ,
pangila,,,,,
pangit,ugly,,,ADJ,
panlogian,to start,,,VERB,
panpatinggaan,end of something,,,NOUN,
pansigdan,for your own good,,,NOUN,
pantew,outside the house,Manayayam da din uubing san pantew.,The children are playing outside.,NOUN,
panturongan,destination,,,NOUN,
pap-eng,end,Siya et na din pap-eng di layad ta ay duwa.,This is where our love for each other stops.,NOUN,
papadi,priests,,,NOUN,
papangolo,leaders,,,NOUN,
paparsua,people,,,NOUN,
papasolot,followers,,,NOUN,
papati,even,Enka et tan ammuk ay papati sika et tumaynan metdan.,Go now because I know that even you will leave me too.,ADV,
papayew,ricefields / rice paddies,,,NOUN,
papigsaen,strengthen,,,VERB,
paris,pair,,,VERB,
parti,part,,,NOUN,
parusa,person,,,NOUN,
pasaaen,to make someone go home,,,VERB,
pasalamat,thank,,,VERB,
pasaldengen,to make (someone/something) stop,"Pangaasim, umali ka kad ay pasaldengen san pusok ay manglaylayad ken sika.",Please come and stop my heart from loving you.,VERB,
pasamak,happening / event,,,VERB,
paspas,Fast,,,ADV,
paspasamak,happenings / events,,,NOUN,
patag,flat area,,,ADJ,
patang,face,,,VERB,
pateg,value,,,NOUN,
pati,obey,,,VERB,
patingga,limit / boundary,,,NOUN,
payak,wings,,,NOUN,
payew,ricefield / rice paddy,Naibaa sisya ay mangiey san makan ed payew.,He was asked to bring the foof in the fields.,NOUN,
pese,kill,,,VERB,
peslek,kill,,,VERB,
peslem,kill,,,VERB,
peslen,kill,,,VERB,
pespeslen,killing,,,VERB,
peweg,knee,,,NOUN,
pewek,tyhoon/storm,Kaman waday pewek ay umal-ali.,It seems there is a storm that is coming.,NOUN,
piga,how much?,,,ADJ,
pigsa,loudness,,,NOUN,
pilak,money,,,NOUN,
pilit,force,,,NOUN,
piliten,forcing,,,VERB,
pinabasol,blamed,,,VERB,
pinadapadas,experieced many times,,,VERB,
pinadas,experieced,Pinadas ko ay nanlayad si tetewa ngem wat na nilalasoy din layad ko en sisya.,"I experienced loving truthfully, however, my love for him was taken for granted.",VERB,
pinadpadas,has experienced,,,VERB,
pinakaan,made to leave / sent away,Pinakaan na saken sin biyag na.,He made me leave his life.,VERB,
pinakawan,forgave,,,VERB,
pinalawlawa,worsen,,,VERB,
pinaligat,made difficult,,,VERB,
pinalobosan,freed,,,VERB,
pinalpaligat,has made difficult,Pinalpaligat ko lang din awak ko.,I just made things difficult for myself.,VERB,
pinalti,butchered,Pinalti da din taraken da ay nuwang.,They butchered their carabao.,VERB,
pinaneknekan,proved,Pinaneknekan na lang ay nankamali ak ay nantalek ken sisya.,He just proved that I was wrong to trust him.,VERB,
pinasyal,visited,,,VERB,
pinati,obeyed,,,VERB,
pinatpati,has obeyed,,,VERB,
pingi,stem,,,NOUN,
pinili,chose,Pinili na ay dadaelen din tolagan mi isunga adak pulos mapakawan sisya.,He chose to destroy our promise which is why I can never forgive him.,VERB,
pinilim,you wanted it,,,VERB,
pinilin,wanted by,,,VERB,
pinilit,force,,,NOUN,
pinmigsa,become strong,,,VERB,
pinmika,stood up,,,VERB,
pinmipika,standing,,,VERB,
pinmipikas,(someone) is standing,,,VERB,
pinooan,burned,,,VERB,
pinoot,asked,,,VERB,
pinse,blame,,,VERB,
pinsek,turned off,,,VERB,
pinsen,(he/she) turned off,,,VERB,
pintas,Pretty,,,ADV,
piskaw,dried fish,,,VERB,
pisti,shout,,,VERB,
pitek,mud,,,NOUN,
pito,seven,,,NUM,
pitopolo,seventy,,,NUM,
pitsa,date,,,NOUN,
piya,good,,,ADJ,
plano,much,,,ADJ,
planom,what is your plan?,,,NOUN,
planon,plan,,,NOUN,
plaza,plaza,,,NOUN,
podot,hot,,,ADJ,
pokokan,cage,,,NOUN,
poldiya,wage,,,NOUN,
poli,descendant,,,NOUN,
polim,your descendant,,,NOUN,
polin,descendant of,,,NOUN,
polos / pulos,never,Pinili na ay dadaelen din tolagan mi isunga adak pulos mapakawan sisya.,He chose to destroy our promise which is why I can never forgive him.,ADV,
pomatpat,to cut down,,,VERB,
pomigpigsa,getting stronger,,,VERB,
pomigsa,to get stronger,,,VERB,
pomigsaan,source of strength,,,NOUN,
pomika,to stand / to get up,,,VERB,
pomikpika,standing up / getting up,,,VERB,
pomili,to choose,,,VERB,
pomse,to kill,,,VERB,
ponasan,to wipe,,,VERB,
pooan,to burn,,,VERB,
pooana,burned by,,,VERB,
poon,root,,,NOUN,
poona,its root,,,NOUN,
pooten,to know,,,VERB,
posong,lake,,,NOUN,
posti,post,,,VERB,
probinsiya,province,,,NOUN,
problema / problima,problem,,,NOUN,
problimak,my problem,,,NOUN,
puso,heart,,,NOUN,
pusok,my heart,Mansakit di ay pusok gapu en sika.,My heart aches because of you.,NOUN,
ragragsak,happiness,,,NOUN,
ragsak,happiness,,,NOUN,
relihion,religion,,,NOUN,
reserba,reserve,,,NOUN,
rigat,hardship,,,NOUN,
rikna,feelings,,,NOUN,
riknak,my feelings,"Ikantak riknak ay naragsak, layad ay manleplepyas.","I will sing out my happy feeling, overflowing happiness.",NOUN,
riknam,your feelings,,,NOUN,
riri,complaint,,,NOUN,
rispito,respect,,,NOUN,
rispitoen,to respect someone,,,VERB,
ropa,face,,,VERB,
ropan,face of sdmeone,,,NOUN,
sabado,saturday,,,PROPN,
sabsabong,flowers,,,NOUN,
sadot,lazy,,,ADJ,
saes,six,,,NUM,
sagdodowa,two each,,,NUM,
sagongen,go back to,,,VERB,
sagot,offerring,,,VERB,
sagsagot,offerings,,,NOUN,
sak-en,me,Isapatam en sak-en.,You promise me.,PRON,
sakbay,before,,,ADP,
sakdoan,where water is fetched,,,NOUN,
sakgod,horns,,,NOUN,
sakit,illness,,,NOUN,
sako,sack,,,NOUN,
salaknib,protection,,,NOUN,
salaknibak,for me to protect,,,VERB,
salaknibam,for you to protect,,,VERB,
salakniban,to protect,,,VERB,
salaknibana,to be protected by him/her,,,VERB,
salamat,thank you,,,VERB,
salida,barrier,,,NOUN,
salming,mirror,,,NOUN,
salodsod,question,,,NOUN,
salodsoden,to ask,,,VERB,
salop,6 cups,,,NOUN,
samet,maybe,,,ADV,
san,the,Dey daddaagen na san aag-i na.,He is sitting beside his siblings.,PRON,
sana,that one,Sana iman di indateng manung mu.,That is the one your brother brought.,DET,
sangaili,visitor,,,NOUN,
sango,front / facing,Addak ninamnama ay mawadaak isnan sango yo ay mansapata ay presidente yo.,"I never expected that I will be here taking my oath of office before you, as your president.
",NOUN,
sangoanak,in front of me,,,NOUN,
sangoanam,in front of you,,,NOUN,
sangoanan,in front of someone/something,,,NOUN,
sangoanana,in front of him/her,,,NOUN,
sangoen,to face,,,VERB,
sangosango,face-to-face,,,NOUN,
sangsangawen,distracting/distraction,Sangaw ka si peteg ngem sikay umipa-yadek,"My worst distraction,my rhythm and blues",NOUN,
sangsangoen,facing,,,VERB,
sanikwa,ownershipm / possession,,,NOUN,
sanikwan,owned/possessed by,,,VERB,
satanas,satan,,,PROPN,
sayang,sense of regret/pity/waste,,,NOUN,
sedsed,compress,,,VERB,
seg-ang,pity / sympathy / empathy,,,NOUN,
segpan,door,Nabobokatan din segpan ed beey,The door at home was left opened,NOUN,
segpen,enter something,,,VERB,
semken,remember,,,VERB,
senggep,enter,,,VERB,
senggepan,where to enter from,,,VERB,
sengsenggep,entering,,,VERB,
seremonia,ceremony,,,NOUN,
seyep,sleep,,,NOUN,
sibibiyag,living / alive,,,VERB,
sida,viand,,,NOUN,
sidi,there,Mankadwa ka kad ed sidi.,Accompany me there.,PRON,
sidung,place to rest,,,NOUN,
sigaak,to disapprove,,,VERB,
siged,good,,,ADJ,
sigesiged,very good,,,ADJ,
sigod,it used to be,,,VERB,
sigsiged,better,,,ADV,
sigurado,sure,,,ADJ,
siguro,maybe,,,ADV,
sik-a / sika,You,Ay sik-a di naabat ko sin igid di danan,It was you whom i met along the way.,PRON,
sik-ay,it's you,,,PRON,
siki,foot,,,NOUN,
sikik,my foot,,,NOUN,
sikim,your foot,,,NOUN,
sikin,foot of someone,,,NOUN,
sikka,you,,,PRON,
silalayad,loving,,,VERB,
silas,slipper,,,NOUN,
silaw,light / lamp,,,NOUN,
silawan,to light,,,VERB,
silawana,to be lighted by,,,VERB,
silbi,worth / value,,,NOUN,
silbin,worth of something,,,NOUN,
simbaan,church,"Nalawa san altar di simbaan , mayat si man marchaan","The altar at the church is spacious, a good place to march.",NOUN,
sina,here / separate,Damagem kad nu adu an dalloyon ed sina ay banda,Go and ask if there are many waves at this side,ADJ,
sinagong,went back to,,,VERB,
sinakop,conquer,,,VERB,
sinalodsod,asked,,,VERB,
sinangaili,community,,,NOUN,
sinay,this,Sinay din planok para en daita,This is my plan for the two of us,PRON,
sinenggep,went in,,,VERB,
sinepsep,worsen,,,VERB,
singin,twins,,,NOUN,
singsing,ring,,,NOUN,
sinigaan,don't want,,,VERB,
siniglotan,tied,,,VERB,
sinilas,slipper,,,NOUN,
sinkaattikan,done in a few moments,,,VERB,
sinlibo,a thousand,,,NUM,
sinmaa,went home,,,VERB,
sinmaldeng,stoppped,,,VERB,
sinmawang,arrived / came,,,VERB,
sinmiged,became better,,,VERB,
sino,what,,,PRON,
sinobot,retrieved,,,VERB,
sinokatana,he/she changed something,,,VERB,
sinolid,thread,,,NOUN,
sinongbatan,answered by,,,VERB,
sinongbatana,he answered,,,VERB,
sinopek,collect,,,VERB,
sinpamilya,a family,,,NOUN,
sinpo,ten,,,NUM,
sinsin-ed,waited for,,,VERB,
sinyal,sign,,,NOUN,
sirib,wisdom,,,NOUN,
sisya,him/her,Awni ta malpas am-amagek sipay emey ayagan sisya.,Wait for me to finish what I am doing before I will go and call for him.,PRON,
siya,this / it / yes,Yan siya didan,It is what is expected.,PRON,
siyam,nine,,,NUM,
siyamapolo,ninety,,,NUM,
siyodad,city,,,NOUN,
sobra,much,,,ADJ,
sogat,wound,,,NOUN,
soka,vinegar,,,NOUN,
sokatak,i will change something,,,VERB,
sokod,cane / walking stick,,,NOUN,
solat,letter,,,NOUN,
soldado,soldier,,,NOUN,
soldadon,soldier of,,,NOUN,
soli,corner,,,NOUN,
solin,corner of,,,NOUN,
solisog,temptation,,,NOUN,
somaa,to go home,,,VERB,
somaaak,for me to go home,,,VERB,
somagong,to go back,,,VERB,
somakyab,to climb,,,VERB,
somaldeng,to stop,,,VERB,
somango,to move in front,,,VERB,
somawang,show up / arrive,,,VERB,
somawangak,i will arrive / show up,,,VERB,
sombat,answer,,,VERB,
somiged,to be better,,,ADJ,
somigedan,for the betterment,,,NOUN,
somili,blinding,,,VERB,
somilsilap,"shining, shimmering",,,VERB,
somimit,to sprout,,,VERB,
somisili,blinding light,,,VERB,
somoko,to grow,,,VERB,
somongbat,to answer back,,,VERB,
songbat,answer,,,VERB,
songbatak,to answer (1st POV),,,VERB,
songbatam,to answer (2nd POV),,,VERB,
songbatan,to answer (3rd POV),,,VERB,
sopot,"container (paper bag, plastic bag, and the like)",,,NOUN,
sosi,key,,,ADJ,
sosoldado,soldiers,,,NOUN,
sosoldadon,soldiers of,,,NOUN,
soyosoy,breeze,,,VERB,
sungbat,answer,,,VERB,
tabla,wooden plank,,,ADJ,
tadem,sharpness,,,NOUN,
tadlang,ribs,,,NOUN,
tadonen,copy,,,VERB,
tadtadonen,copying,,,VERB,
taga,from somewhere,,,ADP,
tagoen,to revive,,,VERB,
tagoena,to be revived by,,,VERB,
tak-ep,double cover,,,ADJ,
takkay,arms / hands,,,NOUN,
tako,us,Amey tako,Let us go.,PRON,
talaga,really / truly / certainly / indeed,"Kasiyana, wada di abak ya pangabak talaga san biyag.","It's alright, there is always a loss and win in life.",ADV,
talaken,pet / animals being taken care of,,,NOUN,
talaw,star,San talaw ay tatangadek et nalitaw.,The star I am gazing at is lost.,NOUN,
talek,trust,Ekak itulok jen masharal e talek jen in-akan jo son sikak.,I will not break the trust you have placed in me.,NOUN,
talged,assurance,Sik-a di talged ko isnan nay lubong ay nagolo-golo.,You are my assurance in this chaotic world.,NOUN,
tali,rope / string,,,NOUN,
talna,peace / quiet / calm,,,NOUN,
tamangen,look into the distant,,,VERB,
tan,because,Tan nay adak kabaelan din dawat da amam,"Because of this, I can’t meet your parents’ demands.",SCONJ,
tangaden,to look up to,,,VERB,
tanggoyob,trumpet / horn,,,NOUN,
taoliek,to return to (1st POV),,,VERB,
taolien,to return to,,,VERB,
tapian,to add,,,VERB,
tapin,along with / in addition to,,,NOUN,
tapok,dust,,,NOUN,
taptapian,to add more / increase,,,VERB,
tasa,cup,,,NOUN,
tatalaw,stars,,,NOUN,
tatang,father,Addak nanemnemnem ay maidawatanak si obla ay mangituloy si misyon da tatang en nanang ko.,"I never imagined that I would be tasked with continuing the mission of my parents.
",NOUN,
tawa,window,,,NOUN,
tawen,age / year,Din kakakaan ay bagyo di kapipigsaan ed wani ay tawen.,The typhoon that just left is the strongest for this year.,NOUN,
tawena,his/her age,,,NOUN,
tawid,inheritance,,,NOUN,
tawiden,to inherit,"Adak nilayad ay manbalin ay simbolon di pag-asa, ya tawiden di poloblema di ili tako.
","I never entertained the ambition to be the symbol of hope, and to inherit the problems of our nation.",VERB,
tay,because,Napno si danom san payew tay inmudan si napigsa.,The fishpond of our neighbour is full of fish.,SCONJ,
taynak,i leave behind,,,VERB,
taynam,you leave behind,,,VERB,
taynan,leave behind,,,VERB,
taytaynan,leaving behind,,,VERB,
tenged,neck,,,NOUN,
tepek,mouth,,,NOUN,
tet-ewa,TRUE,Nan kinawadak esna ed nuwani ay agew di ebidensiya ay dakayo di tet-ewa ay pigsak.,My presence here today is proof that you are my true strength.,ADV,
tetewengen,pretending not to hear,,,VERB,
tiempo,time,,,NOUN,
tilang,tick,,,VERB,
tilidena,he/she carry,,,VERB,
timplo,temple,,,NOUN,
timplok,my temple,,,NOUN,
timplom,your temple,,,NOUN,
timplon,temple of,,,NOUN,
timpo,time,,,NOUN,
timpon,time of,,,NOUN,
tinago,revived / kept alive,,,VERB,
tinagon,revived by,,,VERB,
tinamang,looked at the distant,Inmey ed ngato et enna tinamang ed payew.,He went up to look into the rice paddies.,VERB,
tinangad,looked up,,,VERB,
tinaoli,got back together,Amey na indayadayayan yan tinaoli na met dedan.,He cried so much because of her yet he still got back together with her.,VERB,
tinaoli,went back,Ay tinauli na din banig?,Did he go back for the bolo?,VERB,
tinapay,bread,,,NOUN,
tinawen,yearly,,,ADV,
tinawid,inherited,,,VERB,
tinawtawen,yearly,,,ADV,
tinaynak,i left,Mansagong ak tan dey wada tinaynak.,I will return as I left something.,VERB,
tinaynan,left,,,VERB,
tinaynana,left someone,,,VERB,
tinaynanas,left someone,,,VERB,
tinmagtag,ran,,,VERB,
tinmalna,calmed down / kept still,,,VERB,
tinmaynan,left me,Ta ameyak anapen din pusok ay nalitaw idi tinmaynan ka,I will go and find my heart which was lost when you left me.,VERB,
tinmobo,grew,,,VERB,
tinmokdo,sat,,,VERB,
tinmotokdo,sitting,,,VERB,
tinokang,knock down / make something fall down,,,VERB,
tinongpal,obeyed,,,VERB,
tinongtongpal,obeyed someone,,,VERB,
tinood,straightened,,,VERB,
tinulongan,helped,,,VERB,
tistigo,witness,,,NOUN,
titit,bird,,,NOUN,
titolo,title / deed,,,NOUN,
tiyagew,summer/dry season,Manpondo kayo si danum tanay tiyagew kasin.,Store water as the summer comes again.,NOUN,
tiyempo,time,San tiyempo da nan naamagan dany.,It was during there time that these were built.,NOUN,
tobo,sprout,,,NOUN,
tokak,frog,,,NOUN,
tokdoan,chair / bench,Ilam ta adi maspak din tokdoan.,See to it that the chair does not break.,NOUN,
tokod,walking cane,Into pay nangyan alapo yo din tokod na?,Where did your grandma put her walking stick?,NOUN,
tokod,brace,Pay-am si tokod na ta natibtibker.,Put braces so it is more stable.,NOUN,
tokod,suppport,Nay nakapoy et din tokod di baey anay.,This house' support is already weak.,NOUN,
toktok,head / knock,,,NOUN,
tolag,agree,,,VERB,
tolagan,agreement,Pinili na ay dadaelen din tolagan mi isunga adak pulos mapakawan sisya.,He chose to destroy our promise which is why I can never forgive him.,NOUN,
tolda,canopy / tarpaulin / cover,Ay wada tolda ay mausar?,Is there a canopy to be used?,NOUN,
tolo,three,,,NUM,
tolong,help,,,VERB,
tolongak,i help someone,,,VERB,
tolongan,help someone,,,VERB,
tolonpo,thirty,,,NUM,
toloy,continue,Toloy latta nan pyasta.,The fiesta will still continue.,VERB,
tomagtag,run,Tomagtag ka ta paspas.,Run so it will be quicker.,VERB,
tomalna,keep still,Ibagam ta tumalna da et tany mankararag da.,Ask them to keep still as they will pray already.,VERB,
tomalna,settle down,Tomalna kayo en.,Settle down now.,VERB,
tomalna,calm down,"Tumalna metlang nan batawa, adim mandanag.","The atmosphere will soon calm down, don't worry.",VERB,
tomalna,stop,Tomalna ka sa!,Stop already!,VERB,
tomanagtag,to run / running,Tumanagtag ipegaw idi nanyegyeg.,People were running when it shook.,VERB,
tomaynan,leave,"Adyam tumaynan, mangseed ka.","Don't leave me, wait for a while.",VERB,
tomobo,grow,Tomobo nan mula nu aywanam ay napoot.,The plant will grow if you take care of it well.,VERB,
tomokdo,sit,Tomokdo ka kod ta adyam kanaliwes.,Sit down so you won't be walking around.,VERB,
tomoled,to be courageous/brave,,,ADJ,
tomolong,help,,,VERB,
tomotokdo,sitting,,,VERB,
tonggal,every,Mayat no bumadang nan tonggal esa ken datako.,It is good if every one of us helps.,PRON,
tongpal,follow / obey,,,NOUN,
tongpalek,i obey,,,VERB,
tongpalem,you obey,Tongpalem kanan da tan pansayaatam gedan sa.,Follow what they say as it is also for your own good.,VERB,
tongpalen,obeyed by,Tongpalen tako nan linteg ta wada kapya sinan ili.,Let us obey the laws so there is peace in our community.,VERB,
tongpalena,he/she/they obey,,,VERB,
tongtongpalen,being obeyed by,,,VERB,
tres,three,,,NUM,
tribu,tribe of,,,NOUN,
tribun,tribe of,,,NOUN,
trono,throne,,,NOUN,
tronon,throne of,,,NOUN,
tulagan,agreement,Pangaasim ta surutem nan tulagan ta.,Please follow our agreement.,NOUN,
turay,way / bridge,,,NOUN,
tured,courage,Nangyam py tured mu ay enmu ikari-karit ed idi?,Where have you put the courage you've been proud of then?,NOUN,
udan,rain,Ilikep mu din tawa ya ruwangan tanay umali udan.,Close the windows and doors as the rain is coming.,VERB,
uga,cry,adam man--uga,Don't cry,VERB,
umali,come,Umali kayo kasin,You come again,VERB,
umas-asa,hoping,Umas-asa iman ipegaw ken dakayo isunga ipoot you.,People are ,VERB,
uray,even,Ay uray malabian ka et sed-em lattah?,Will you still wait even if it's too late?,ADV,
uray,nevermind,Uray saken et mang-amag.,"Nevermid, let me do it instead.",INTJ,
usto,enough,Usto koma adi.,Hope that is enough,ADV,
uway,whatever,Asi ka uway,Do whatever you want.,NOUN,
uway,necklace,Inyalin manang nan uway na ken saken.,Sister gave me her necklace.,NOUN,
wada,present / there is,Siyat wada kanoy malima,There is a need for five.,ADJ,
wadaak,I am here/present,Wadaak pay ay kanayon.,I am always present.,ADJ,
wadad,there/located/present somewhere,Wadad abong c Lolo.,Lolo is in the house.,VERB,
wadan,there is something,Wadan Apo Dios di asi,The Lord have mercy.,VERB,
wadas,presence (3rd POV),Wadas amam ed bangir.,Your father is on the other side.,NOUN,
waday,there is,Ta waday pan-anudan,There is a current so that I may be carried away.,VERB,
walsian,splash with water,Inmaga tay nawalsian si danum ed paglanguyan.,She cried because she was splashed with water in the pool.,VERB,
walsiana,splash with water (3rd POV),Walsiana kuma ngem baka bumunget.,He was about to splash him with water but he might get angry.,VERB,
